№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
39,24.09.2021пятница,14.3,16.0,прак. занятие,ЗУО-2911,,"Страхование рисков, социальное страхование и человеческий фактор",27,106 (III),доц. Кузнецова Екатерина Анатольевна
40,10.01.2022понедельник,12.2,13.5,лекция,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,124 (III),доц. Климова Диана Викторовна
41,10.01.2022понедельник,14.3,16.0,лекция,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,124 (III),доц. Климова Диана Викторовна
42,11.01.2022вторник,9.0,10.3,прак. занятие,ЗУО-2911,,"Управление персоналом (HR), система подготовки кадров и обучения по охране труда",27,105 (III),доц. Шевченко Виктория Борисовна
43,11.01.2022вторник,10.4,12.1,прак. занятие,ЗУО-2911,,"Управление персоналом (HR), система подготовки кадров и обучения по охране труда",27,105 (III),доц. Шевченко Виктория Борисовна
44,11.01.2022вторник,12.2,13.5,лабор. работа,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,124 (III),доц. Климова Диана Викторовна
45,11.01.2022вторник,14.3,16.0,лабор. работа,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,124 (III),доц. Климова Диана Викторовна
46,12.01.2022среда,9.0,10.3,прак. занятие,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
47,12.01.2022среда,9.0,10.3,прак. занятие,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,105 (III),доц. Голышева Галина Васильевна
48,12.01.2022среда,10.4,12.1,прак. занятие,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
49,12.01.2022среда,10.4,12.1,прак. занятие,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,105 (III),доц. Голышева Галина Васильевна
50,12.01.2022среда,12.2,13.5,прак. занятие,,ЗУО-2911-1,Управление трудовой и технологической дисциплиной,14,106 (III),доц. Медведева Вера Михайловна
51,12.01.2022среда,12.2,13.5,прак. занятие,,ЗУО-2911-2,Экспертиза вредных и опасных факторов производства,13,105 (III),доц. Шевченко Виктория Борисовна
52,12.01.2022среда,14.3,16.0,прак. занятие,,ЗУО-2911-1,Управление трудовой и технологической дисциплиной,14,106 (III),доц. Медведева Вера Михайловна
53,12.01.2022среда,14.3,16.0,прак. занятие,,ЗУО-2911-2,Экспертиза вредных и опасных факторов производства,13,105 (III),доц. Шевченко Виктория Борисовна
54,13.01.2022четверг,9.0,10.3,прак. занятие,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
55,13.01.2022четверг,9.0,10.3,прак. занятие,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,105 (III),доц. Голышева Галина Васильевна
56,13.01.2022четверг,10.4,12.1,прак. занятие,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
57,13.01.2022четверг,10.4,12.1,прак. занятие,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,105 (III),доц. Голышева Галина Васильевна
58,13.01.2022четверг,12.2,13.5,лабор. работа,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,124 (III),доц. Климова Диана Викторовна
59,13.01.2022четверг,14.3,16.0,лабор. работа,,ЗУО-2911-1,Информационные технологии мониторинга и прогнозирования производственной безопасности,14,124 (III),доц. Климова Диана Викторовна
60,14.01.2022пятница,9.0,10.3,лекция,,ЗУО-2911-1,Специальная оценка условий труда,14,105 (III),доц. Киселева Екатерина Александровна
61,14.01.2022пятница,9.0,10.3,лекция,,ЗУО-2911-2,Оценка воздействия условий труда на здоровье сотрудников,13,106 (III),доц. Голышева Галина Васильевна
62,14.01.2022пятница,10.4,12.1,лекция,,ЗУО-2911-1,Специальная оценка условий труда,14,105 (III),доц. Киселева Екатерина Александровна
