№ п/п,Наименование,Адрес,"Площадь, кв.м.",Год,Категория,Статья расходов,Источник,"Расходы, руб."
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,6545.454545454545
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Очистка от снега,наледи и сосулек ", бюджет,20379.761552049386
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Очистка от снега,наледи и сосулек ", внебюджет,2207.8075014720166
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", бюджет,24515.383921320943
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"ТО СКУД, ТО турникетов СтрелецМониторинг, ТО комплекс систем безопасности, пожарных кранов ", внебюджет,11810.956371103519
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,7010.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Ремонт , бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Ремонт , внебюджет,460983.0328132169
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Подготовка к зиме , бюджет,12823.061348737769
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Подготовка к зиме , внебюджет,281466.196604794
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Огнезащитная обработка , бюджет,50483.343475403446
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Огнезащитная обработка , внебюджет,0.0
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", бюджет,77527.33902335374
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", внебюджет,573898.0647393382
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,Вывоз мусора , бюджет,26605.844190182495
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,Вывоз мусора , внебюджет,28574.676660256002
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,Дератизация и дезинфекция , бюджет,0.0
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,Дератизация и дезинфекция , внебюджет,6704.6727359259885
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
21,Здание учебного корпуса,"129626, г. Москва,р-н Алексеевский, Кучин пер., д. 14, стр. 2",4779.7,2020,Учебные корпуса,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,3272.7272727272725
